Abies cephalonica
Acacia dealbata
Acanthus mollis
Acer campestre
Acer monspessulanum
Acer negundo
Acer opalus
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer saccharinum
Achillea filipendulina
Achillea millefolium
Achillea ptarmica
Aconitum lycoctonum
Aconitum napellus
Adenostyles alliariae
Adonis annua
Aegopodium podagraria
Aesculus hippocastanum
Aethionema saxatile
Agapanthus
Agave americana
Agave sisalana
Agrimonia eupatoria
Agrostemma githago
Ailanthus altissima
Ajuga chamaepitys
Ajuga genevensis
Ajuga iva
Ajuga reptans
Albizia julibrissin
Alcea rosea
Alliaria petiolata
Allium narcissiflorum
Allium nigrum
Allium polyanthum
Allium schoenoprasum
Allium sphaerocephalon
Allium triquetrum
Allium ursinum
Alnus alnobetula
Alnus cordata
Alnus glutinosa
Althaea cannabina
Althaea officinalis
Amaranthus deflexus
Ambrosia artemisiifolia
Amelanchier ovalis
Ammophila arenaria
Amorpha fruticosa
Anacamptis champagneuxii
Anacamptis laxiflora
Anacamptis morio
Anacamptis pyramidalis
Anacyclus clavatus
Anarrhinum bellidifolium
Anchusa italica
Androsace villosa
Andryala integrifolia
Anemone alpina
Anemone coronaria
Anemone hepatica
Anemone nemorosa
Anemone pulsatilla
Anemone ranunculoides
Anemone rubra
Anemone vernalis
Angelica heterocarpa
Angelica sylvestris
Angelonia
Antennaria dioica
Anthemis maritima
Anthericum liliago
Anthoxanthum odoratum
Anthriscus sylvestris
Anthyllis hermanniae
Anthyllis montana
Anthyllis vulneraria
Antirrhinum majus
Aphyllanthes monspeliensis
Aquilegia vulgaris
Arabidopsis thaliana
Arbutus unedo
Arctium lappa
Arctium minus
Argyrolobium zanonii
Aristolochia clematitis
Aristolochia pistolochia
Aristolochia rotunda
Armeria alpina
Armeria arenaria
Armeria maritima
Arnica montana
Artemisia vulgaris
Arum italicum
Arum maculatum
Arundo donax
Asparagus acutifolius
Asparagus officinalis
Asphodelus albus
Asphodelus cerasiferus
Asphodelus ramosus
Asplenium adiantum-nigrum
Asplenium ceterach
Asplenium ruta-muraria
Asplenium scolopendrium
Asplenium trichomanes
Aster alpinus
Astragalus glycyphyllos
Astragalus hamosus
Astragalus monspessulanus
Astrantia major
Astrantia minor
Athyrium filix-femina
Atriplex prostrata
Atropa belladonna
Aucuba japonica
Ballota nigra
Barbarea vulgaris
Bartsia alpina
Bartsia trixago
Bellevalia romana
Bellis perennis
Berardia lanuginosa
Berberis japonica
Berberis vulgaris
Berteroa incana
Beta vulgaris
Betonica officinalis
Betula pendula
Betula pubescens
Betula utilis
Bidens pilosa
Bistorta officinalis
Bituminaria bituminosa
Blackstonia imperfoliata
Blackstonia perfoliata
Blechnum spicant
Borago officinalis
Bougainvillea
Brassica napus
Broussonetia papyrifera
Bryonia cretica
Buddleia
Buddleja davidii
Buglossoides purpurocaerulea
Bupleurum fruticosum
Bupleurum ranunculoides
Buxus sempervirens
Cakile maritima
Calandrinia spectabilis
Calendula arvensis
Calendula officinalis
Calluna vulgaris
Caltha palustris
Campanula glomerata
Campanula latifolia
Campanula medium
Campanula patula
Campanula persicifolia
Campanula rapunculus
Campanula rhomboidalis
Campanula rotundifolia
Campanula scheuchzeri
Campanula trachelium
Canna Lily
Canna indica
Capparis spinosa
Capsella bursa-pastoris
Cardamine amara
Cardamine flexuosa
Cardamine heptaphylla
Cardamine pratensis
Carduus acanthoides
Carduus carlinoides
Carduus defloratus
Carduus nigrescens
Carduus nutans
Carduus pycnocephalus
Carex flacca
Carex otrubae
Carex riparia
Carica papaya
Carlina acanthifolia
Carlina acaulis
Carlina corymbosa
Carpinus betulus
Carpobrotus edulis
Carthamus lanatus
Castanea sativa
Casuarina cunninghamiana
Catalpa bignonioides
Catananche caerulea
Cedrus atlantica
Celosia
Celtis australis
Centaurea aspera
Centaurea calcitrapa
Centaurea corymbosa
Centaurea decipiens
Centaurea jacea
Centaurea nigra
Centaurea paniculata
Centaurea pectinata
Centaurea scabiosa
Centaurium erythraea
Centaurium maritimum
Centella asiatica
Centranthus angustifolius
Centranthus ruber
Cephalanthera longifolia
Cephalanthera rubra
Cephalaria leucantha
Cerastium glomeratum
Ceratonia siliqua
Cercis siliquastrum
Chaenorrhinum minus
Chamaerops humilis
Chelidonium majus
Chenopodium album
Chondrilla juncea
Cichorium intybus
Circaea lutetiana
Cirsium acaulon
Cirsium arvense
Cirsium eriophorum
Cirsium oleraceum
Cirsium palustre
Cirsium vulgare
Cistus albidus
Cistus monspeliensis
Cistus salviifolius
Citrus limon
Clematis flammula
Clematis vitalba
Clinopodium nepeta
Clinopodium vulgare
Cneorum tricoccon
Cochlearia danica
Colchicum autumnale
Colutea arborescens
Convallaria majalis
Convolvulus althaeoides
Convolvulus arvensis
Convolvulus cantabrica
Convolvulus sepium
Convolvulus soldanella
Coriaria myrtifolia
Cornus mas
Cornus sanguinea
Coronilla glauca
Coronilla juncea
Coronilla valentina
Coronilla varia
Corydalis solida
Corylus avellana
Cotinus coggygria
Crataegus azarolus
Crataegus germanica
Crataegus laevigata
Crataegus monogyna
Crepis bursifolia
Crepis capillaris
Crepis foetida
Crepis sancta
Crepis setosa
Crithmum maritimum
Crocus nudiflorus
Cruciata laevipes
Cucumis sativus
Cupressus sempervirens
Cyanus montanus
Cyanus segetum
Cyclamen hederifolium
Cydonia oblonga
Cymbalaria muralis
Cynoglossum creticum
Cypripedium calceolus
Cytisus lanigerus
Cytisus oromediterraneus
Cytisus scoparius
Dactylis glomerata
Dactylorhiza fuchsii
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Dactylorhiza sambucina
Daphne cneorum
Daphne gnidium
Daphne laureola
Daphne mezereum
Datura stramonium
Daucus carota
Delosperma
Dianthus armeria
Dianthus barbatus
Dianthus carthusianorum
Dianthus caryophyllus
Dianthus gallicus
Dianthus hyssopifolius
Dicentra spectabilis
Digitalis grandiflora
Digitalis lutea
Digitalis purpurea
Dioscorea communis
Diospyros kaki
Dipcadi serotinum
Diphasiastrum tristachyum
Dipladenia
Diplotaxis erucoides
Diplotaxis tenuifolia
Dipsacus fullonum
Dittrichia viscosa
Doronicum grandiflorum
Dorycnium hirsutum
Dorycnium pentaphyllum
Double Knockout Rose
Draba verna
Dracunculus vulgaris
Drosera rotundifolia
Dryas octopetala
Dryopteris filix-mas
Dwarf Pomegranate
Ecballium elaterium
Echinophora spinosa
Echinops ritro
Echium vulgare
Elaeagnus angustifolia
Ephedra distachya
Epilobium angustifolium
Epilobium dodonaei
Epilobium hirsutum
Epilobium tetragonum
Epipactis atrorubens
Epipactis helleborine
Epipactis palustris
Equisetum telmateia
Eranthis hyemalis
Erica arborea
Erica cinerea
Erica tetralix
Erica vagans
Erigeron annuus
Erigeron canadensis
Erigeron karvinskianus
Erigeron sumatrensis
Erinus alpinus
Eriobotrya japonica
Eriophorum angustifolium
Erodium ciconium
Erodium cicutarium
Erodium foetidum
Erodium malacoides
